id,year,type,venue,doi,title
236,2006,journal article,IEEE Computer Graphics and Applications,10.1109/MCG.2006.133,Modeling Crowd and Trained Leader Behavior during
237,2007,journal article,Prehospital and Disaster Medicine,10.1017/S1049023X00005367,Leadership as a Component of Crowd Control in a Ho
238,2015,conference paper,Structures Congress 2015,10.1061/9780784479117.129,Agent-Based Model for Pedestrians Evacuation afte
239,2024,journal article,Emergency Management Science and Technology,10.48130/emst-0024-0013,A simulation study of the influence of dedicated b
240,2010,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2009.10.005,Modeling group structures in pedestrian crowd simu
244,2009,conference paper,Complex Sciences,10.1007/978-3-642-02469-6_25,Agent-Based Modeling and Simulation on Emergency E
245,2021,journal article,Applied Mathematics and Computation,10.1016/j.amc.2021.125965,Variable guiding strategies in multi-exits evacuat
246,2022,journal article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2022.103228,Experimental study of crowd evacuation dynamics co
247,2023,journal article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2023.103902,Modified social force model considering emotional
248,2014,conference paper,Pedestrian and Evacuation Dynamics 2012,10.1007/978-3-319-02447-9_47,A Data-Driven Model of Pedestrian Following and Em
249,2018,conference paper,"Virtual Humans and Crowds for Immersive Environments (VHCIE), IEEE",https://www.cs.upc.edu/~npelechano/VHCIE2018_Rios.pdf,Follower Behavior in a Virtual Environment
250,2012,conference paper,2012 IEEE International Conference on Robotics and Automation,10.1109/ICRA.2012.6225122,Information propagation applied to robot-assisted
251,2019,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2019.121432,Human behavior modeling for simulating evacuation
253,2016,conference paper,2016 8th Computer Science and Electronic Engineering (CEEC),10.1109/CEEC.2016.7835898,Robot assisted evacuation simulation
255,2020,journal article,IEEE Access,10.1109/ACCESS.2020.2994652,Urban Navigation System With Multiple Sub-Maps and
256,2015,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2015.01.080,Effective strategies of collective evacuation from
257,2009,conference paper,2009 WRI World Congress on Computer Science and Information Engineering,10.1109/CSIE.2009.450,Modeling Emergency Scenarios in Virtual Evacuation
258,2011,conference paper,2011 16th International Conference on Computer Games (CGAMES),10.1109/CGAMES.2011.6000319,Crowd simulation in emergency aircraft evacuation
259,2017,journal article,Electronic Imaging,10.2352/ISSN.2470-1173.2017.1.VDA-390,Megacity A Collaborative Virtual Reality Environm
260,2011,conference paper,Ambient Intelligence - Software and Applications,10.1007/978-3-642-19937-0_30,Grouping Behaviour in AmI-Enabled Crowd Evacuation
261,2005,journal article,Advanced Robotics,10.1163/1568553055011483,Insights toward robot-assisted evacuation
262,2006,conference paper,Proceedings of the 2006 Winter Simulation Conference,10.1109/WSC.2006.323128,Crowd Simulation for Emergency Response using BDI
263,2008,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2008.07.004,Crowd simulation for emergency response using BDI
264,2014,journal article,Safety Science,10.1016/j.ssci.2014.01.010,Using non-human biological entities to understand
265,2009,journal article,Applied Mathematical Modelling,10.1016/j.apm.2009.03.020,Modelling subgroup behaviour in crowd dynamics DEM
266,2014,conference paper,Implementation and Application of Automata,10.1007/978-3-319-08846-4_4,Cellular Automata for Crowd Dynamics
267,2015,journal article,International Journal of Foundations of Computer Science,10.1142/S0129054115400031,The Computational Paradigm of Cellular Automata in
269,2023,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2023.128824,Modelling and simulating the leader-follower behav
270,2014,conference paper,Cellular Automata,10.1007/978-3-319-11520-7_50,CA Crowd Modeling for a Retirement House Evacuatio
271,2023,journal article,Journal of Building Engineering,10.1016/j.jobe.2023.106512,Robot-aided human evacuation optimal path planning
272,2017,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2016.11.118,Pedestrian dynamics with explicit sharing of exit
273,2018,conference paper,"Social, Cultural, and Behavioral Modeling",10.1007/978-3-319-93372-6_19,A Study of How Opinion Sharing Affects Emergency E
274,2021,journal article,Sensors,10.3390/s21041353,Self-Organized Crowd Dynamics Research on Earthqu
275,2018,journal article,International Journal of Disaster Resilience in the Built Environment,10.1108/IJDRBE-07-2017-0045,Pedestrian control measures for efficient emergenc
276,2016,journal article,IEEE Transactions on Human-Machine Systems,10.1109/THMS.2016.2571269,Human Mobility Modeling for Robot-Assisted Evacuat
277,2024,journal article,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2023.3344172,NegEmotion Explore the Double-Edged Sword Effect
278,2018,conference paper,2018 11th International Symposium on Computational Intelligence and Design (ISCID),10.1109/ISCID.2018.10155,Optimal Control on Crowd Evacuation with Leader-Fo
279,2021,conference paper,2021 2nd International Conference for Emerging Technology (INCET),10.1109/INCET51464.2021.9456142,IoT based Smart Sensing and Alarming System with A
280,2018,journal article,IEEE Transactions on Computational Social Systems,10.1109/TCSS.2017.2783332,Agent-Based Modeling of Emergency Evacuations Cons
281,2016,conference paper,Cellular Automata,10.1007/978-3-319-44365-2_37,Enhanced Multi-parameterized Cellular Automata Mo
282,2022,journal article,Fire and Materials,10.1002/fam.2978,Modeling pedestrian group behavior in crowd evacua
283,2012,journal article,Leadership and Management in Engineering,10.1061/(ASCE)LM.1943-5630.0000205,Modeling the Cooperation Network Formation Process
284,2020,journal article,Collective Dynamics,10.17815/CD.2020.111,Follower-Leader Concept in Microscopic Analysis
285,2013,journal article,"International Journal of Scientific & Engineering Research,",,Agent Based Evacuation Simulation Using Leader-Follower Model
287,2016,journal article,International Journal of Emergency Management,10.1504/IJEM.2016.076615,Hospital evacuation in disasters uncovering the s
288,2020,book chapter,Living with Robots,10.1016/B978-0-12-815367-3.00008-6,Principles of evacuation robots
